仮タイトル：日本人全員、国が食わせたらどうなると（以下略）その５　医療とは何かに踏み込む回　要約まとめ

 ■日本人全員、国が食わせたらどうなると（以下略）その５　全3話で話したことを要約してまとめています～
## ⑤「資産持ち」でも国の負担はほぼ同水準という発見

- 資産持ちが高額療養費制度だけで済ませた場合、本人負担は15年で約1,044万円

- しかし残り9割相当（保険財源負担分）は約1.8億円、生活保護ケースとほぼ同水準

- 結論：「生活保護か資産持ちか」は本人の可処分所得と自宅の有無を左右するだけで、医療費という一番大きな塊の負担構造そのものにはほぼ影響しない

## ⑥年金と医療の非対称性

- 年金：国が「生きる分」を保証する、金額に上限がある有限パッケージ

- 医療：国が「生かし続ける分」を保証する、事実上青天井の無限パッケージ

- 年金増額は「財源はどこだ」と即詰められるが、医療給付の抑制は「命に関わる」で議論自体が止まる、という非対称がここで改めて確認された

## ⑦専業主婦・主夫モデルという思考実験（GDP換算のパロディ）

- 家事労働を時給1,000円×24時間×365日で換算＝年876万円

- 稼ぎ手（年収500万円）はこの計算だと差額376万円の「借金」を負う設定

- GDPは市場取引しかカウントしないため家事労働は算入されないが、時給換算して国家認定すれば形式上GDPは増加する、という会計トリックの指摘

- これは医療・介護報酬（国が点数をつけて公費で払う）と完全に同型のロジックであることを確認：「国が価値を認定した労働は、市場外でも公費化できる」という点数制度の恣意性を、家事労働に置き換えることで逆照射する思考実験

## ⑧主婦モデルの歪みも医療とそっくり

- 資格を取るほど時給加算（医療の専門医・認定資格加算と同型）

- 「外出＝訪問扱いで10倍加算」（訪問診療が外来の11倍という実際の単価差の引用）

- → 過剰訪問診療問題と同じ「点数を稼ぐための行動」を誘発する構造が、対象を選ばず再現されることを確認

## ⑨世帯課税シミュレーションとその破綻

- 世帯の見かけ上の売上：稼ぎ手500万円＋配偶者2,000万円＝2,500万円

- これに55%課税すると徴収額1,375万円、残り1,125万円（計算上は破綻しない）

- しかし実際に世帯に入ってくる現金は500万円のみ。配偶者の2,000万円は帳簿上の数字であり、現金の裏付けがない

- 結論：「国が金を払う方向（医療費）」は現金の裏付けを誰も問わずに膨張し続けられるが、「国が金を取る方向（主婦モデル課税）」は現金の裏付けがないと即座に破綻が可視化される、という非対称が医療費長期化の根本理由の一つとして整理された

## ⑩「医療」の定義そのものが伸縮する脅威（横の拡張）

- これまでのシリーズは主に単価上昇（縦の拡張）を扱ってきたが、今回「病気の定義を広げる」という横の拡張を新たに指摘

- 産業医設置義務、ストレスチェック制度、特定健診・特定保健指導など、「予防」の名目で医療・産業保健の対象が"未病"領域まで拡大している実例を確認

- 「予防は将来の支出を減らす」という建前を掲げるため、支出増加の提案なのに歯止めがかかりにくいという構造的な危うさを指摘

## ⑪現役・低所得層（年収200万・40代）の可処分所得と可処分時間の試算

- 年収200万円、天引き（所得税・住民税・社会保険料）後の手取りは月13.5万円程度

- 生活費（月11万円想定）を引くと可処分所得は**月2.5万円**

- 高額療養費の自己負担上限（月5.7万円程度）にすら届かず、大きな病気の際は事実上受診を先延ばしにせざるを得ない

- 「制度上は皆保険だが、実質的には無保険に近い」層として位置づけ

- さらに「可処分時間」という新変数を提示：高齢者・生活保護受給者は時間的余裕があるため医療に接続しやすい一方、現役の低所得層は時間も金もなく、二重に医療から遠ざかるという構造を確認

## ⑫「本来の目的」とのズレ

- 医療保険制度の建前（働ける人を働き続けさせる／次世代を死なせない）と、実際のリソース配分（高齢者の慢性期医療・訪問診療に集中）が乖離している

- 組織（省庁・保険者）から見れば、声の大きい既存の患者・高齢者層への予算配分の方が政治的・会計的に説明しやすく、「次世代への予防投資」より優先されやすい、という合理的だが本来目的とはズレた力学を指摘

## ⑬「クレカは子どもに触らせるな」＝リボ払い構造への集約

- 国家予算のあるべき姿：「集まった金で払う（デビット）」

- 実態：「リボ払い」＝借りているのは国債（将来世代の税金）、使うのは今の受給者、返すのは今の受給者ではない

- 「自分が生きてる間に返済義務が回ってこないなら、使い切るのが合理的」という、個人の生存期間レベルでの利害の非対称が、高齢者医療が青天井になりやすい根源的理由として整理された

- シリーズ全体（統帥権的聖域化／福祉の看板による監視の空白／個人と組織の利害一致／時間軸のズレ）の共通の解決策は、突き詰めれば「クレジットではなくデビットにする」という一行に集約される、という着地

## ⑭医療従事者自身も「同じ構造の中の駒」という逆説

- 介護福祉士の低賃金（月31万円）・医師の激務という、パート4で「点数を稼ぐ側」として描かれた医療従事者側にも、実は搾取的構造が及んでいるという指摘

- 激務で可処分時間がなく、稼いだ資産を使う暇もないまま早世すれば、その資産は結局、相続税（死亡者の10.4%のみ課税）や将来の医療費・保護費の原資として国家に回収されうる

- 「あるだけ安心」とされる個人金融資産も、財政が逼迫する中で長期的には資産課税・給付抑制の形で引き出される方向に誘導されていく可能性を指摘

## ⑮軍事動員との相似形の完成

- パート3・4で出した「統帥権干犯」「戦艦大和」の比喩がここで完成形に至る：兵隊が「国を守るため」の配置に見えて実際は「組織（軍）の存続」のために消費されたのと同様、医療従事者も「患者を守るため」の配置に見えて実際は「医療・福祉というマネーフローの中継地点」として配置されている、という整理

- 個人（患者も従事者も）の幸福と、組織の存続インセンティブが必ずしも一致していない、という三層構造（パート4）の最も冷徹なバージョンとして着地

## このパートのオチ

「べき論じゃなく算数」で積み上げてきた数字が、最終的に「クレカは子どもに触らせるな」という一番シンプルな生活実感の一言に収束する、というのが今回の核。制度論としては複雑だが、突き詰めれば「返す気のない借金は使い切るのが合理的」という、誰でも知っている当たり前のロジックが、国家財政という桁違いのスケールでそのまま作動している、という結論でパート5が締めくくられる。

## 【新ベーシックインカム論】シリーズ 追加ログ：医療の原点回帰と最終着地編（パート6）

**位置づけ**：パート5(医療費負担の本丸)に続き、「国家が入る前の医療はどうだったか」という原点回帰の問いから出発し、MRI・がん検診の費用対効果、年齢別死因の実態、自殺統計の経済要因まで検証を広げ、最終的に「統括不在の構造そのものが令和の統帥権」という結論に着地するまでの流れ。

## ①江戸時代の医療、実態は「自由診療・高額・供給激少」

- 江戸時代の医者は国民健康保険もない全額自費診療で、診察料は一分〜二分(現代換算約2〜3万円)、薬代は別料金。医者にかかれるのは金持ちか位の高い武士くらいだった

- 「平均寿命30歳」は乳幼児死亡率(0〜5歳が全死亡の70〜75%)に引きずられた数字で、江戸時代の60歳の人の平均余命は14年(約74歳まで生存)。大人になれば意外と長生きしていた

- 蘭方医学は出島経由(歴代63名の医師)という極細のパイプでしか入らず、高度医療そのものが物理的に存在しなかった。「千両箱を積んでも買えるものがない」時代だった

- 医者にかかりたくてもかかれない庶民が多く存在し、これを見かねた町医者・小川笙船の直訴から小石川養生所(無料医療施設)が生まれた——皆保険の超ミニチュア版が既に8代吉宗の時代に存在

## ②「上限」の性質が変わっただけという発見

- 江戸時代:金があっても技術の天井があったから、医療費に自然な上限があった

- 現代:技術に天井がないから、財政という人為的な天井を誰かが決めるしかない

- 制約が「技術の限界」から「財政の限界」に移っただけで、「どこかで線を引かなあかん」という本質は変わっていない

## ③MRIの経済構造:「回さないと潰れる」装置

- 1.5テスラ未満のMRI導入費用は工事費込みで約7,500万円、年間減価償却費約1,380万円+電気代約130〜180万円+保守費約500万円で、年間ランニングコストは約2,000万円規模

- 一般病院のMRI1台あたり月間検査件数は228件(1日約10件)が平均的な稼働ペース

- MRIを廃止・削減すると回答した医療機関はわずか2件で、過剰な設備投資の常態化が行政研究でも懸念されている

- 患者の窓口負担は1割なら数千円程度。「装置を買った瞬間、稼働させ続けないと収支が壊れる」構造と、「1割負担なら安いから念のため受けよう」という患者心理が、両方から同じ方向(検査件数増加)に作用する

## ④がん検診の費用対効果、ガチャ換算での検証

- CT肺がん検診の実例:受診者77,030名、肺がん発見数174件、うち切除できたのは123件(70.7%)

- 検診費用を1回あたり約17,500円と置くと総額約13.5億円、「切除可能ながんを1つ見つけるコスト」は約1,100万円/件という試算

- 国立がん研究センター自身が、精度の高い検査は死亡に至らない前がん病変や早期がんを見つけているにすぎない可能性があり、これはがん死亡率減少に繋がらない可能性があると明言。さらに「過剰診断」(進行しないがんを見つけて不要な治療を行う)という概念も専門機関側が公式に認めている

- 進行の早いがんは早期発見できる期間が短く、年1回の検診では原理的に間に合わないケースが多い一方、進行の遅いがんは数十年放置しても死に至らないケースもある——「がんタイプによって検診の意味がまるで違う」ことが専門的に裏付けられた

## ⑤年齢階級別の死因、「がんが死因1位」の実態

- 2024年の年齢階級別死因では、10〜39歳の第1位は自殺(男性は10〜44歳、女性は10〜34歳で1位)。15〜30代前半までは「不慮の事故」「自殺」が上位を占め、悪性新生物が明確に1位になるのは40代以降

- 2024年の全年齢合算の死因1位は悪性新生物(全体の23.9%)だが、裏を返せば残り76%はがん以外の死因。2025年は死因3位に「老衰」が浮上(3大死因は悪性新生物・心疾患・老衰)

- 「がんが死因1位」という報道は、高齢層の絶対数の多さに引きずられた合算結果であり、現役世代(20〜40代前半)にとっては事故・自殺対策の方が統計的リターンが大きい可能性がある

## ⑥自殺の原因・動機、経済問題の増加トレンド

- 自殺の原因・動機は多様かつ複合的で、経済・生活問題や家庭問題が深刻化する中でうつ病等の健康問題に連鎖するケースがあることを厚労省・警察庁が明記

- 令和5年(2023年)は経済・生活問題が最も増加(484件増、うち生活苦291件増・事業不振97件増・負債89件増)し、健康問題は最も減少(371件減)。令和6年(2024年)も経済・生活問題の「負債(多重債務)」が特に増加した項目

- 10〜20代は学校問題・家庭問題・精神疾患(うつ等)が主体で経済問題はまだ相対格的に小さいが、就活・進学等の「評価される場面」での挫折が引き金になりやすい。この世代の経験が、時間差で30〜50代の経済的困窮による自殺増加に地続きになっている可能性が指摘された

- 親による無理心中(拡大自殺)は自殺統計とは別区分だが、その引き金となった親自身の経済的困窮は「経済・生活問題」として正規に計上されている

## ⑦シリーズ全体の結論への集約

- 医療・福祉に人口の1割超が動員され続け(パート4)、その原資は現役世代からの"仕送り"(パート4・5)。高齢者は1割負担+高額療養費で医療費実質無敵、生活保護なら医療費ゼロ+生活扶助13万円という「守られる側」である一方、現役・低所得層(年収200万・可処分所得月2.5万円)は「自己責任」で切り捨てられるダブルスタンダードが数字で確認された

- 資産を持って自助努力する層より、資産ゼロで生活保護に落ちた層の方が可処分所得が跳ね上がる逆転現象(パート5)により、「真面目に自助努力する」ことが経済合理性の面で最も損な選択肢になっている

- 厚労省の資料は「人手が足りるか」への危機感は明言するが、「動員規模自体が国家の生産性を圧迫する」というマクロ視点は存在しない(パート4)。支える側(現役世代)が実際に半分程度まで減らない限り、この構造が見直される契機がない可能性が示唆された

## ⑧最終着地:「統括のいない官僚」こそが令和の統帥権

- 各省庁がそれぞれの持ち場の需給だけを見て完結しており、国全体の人的資源配分を俯瞰する主体が存在しない(パート4)という指摘が、シリーズ最終盤で「顔のない構造そのものが統帥権だった」という結論に発展

- 旧日本軍は「陸軍」という一つの意思主体を持って(誤った目標に向けてであれ)動いていたが、現在の医療・福祉構造は意思主体すら存在せず、各省庁の個別最適の積み重ねだけで全体が漂流している点で、統帥権干犯よりも根が深い問題として位置づけられた

- 「移民」による労働力補填という発想は、支える側(現役世代)の設計不全そのものは直さず、問題が可視化されるタイミングを先送りするだけの対応である可能性が指摘され、シリーズを通底する「リボ払い」構造(パート5)の延長として整理された

## このパートのオチ

「引き算、ちゃんとせんとまずくね?」という一貫した問いが、江戸時代の医療比較・MRI/がん検診の費用対効果・年齢別死因・自殺統計の経済要因という多角的な検証を経て、「誰も舵を取っていないこと自体が、この国の一番の統帥権の正体だったのかもしれない」という一言に収束してシリーズが締めくくられる。
